id,season,division,round,localTeam,visitorTeam,localGoals,visitorGoals,date,timestamp
328,1970-71,2,9,Hercules,Sant Andreu,1,0,01/11/1970,26262000
329,1970-71,2,9,Moscardo,Cadiz,0,0,01/11/1970,26262000
330,1970-71,2,9,Racing de Ferrol,Rayo Vallecano,1,0,01/11/1970,26262000
331,1970-71,2,10,Sant Andreu,Castellon,3,1,08/11/1970,26866800
332,1970-71,2,10,Betis,Ontinyent,1,0,08/11/1970,26866800
333,1970-71,2,10,Deportivo,Moscardo,3,1,08/11/1970,26866800
334,1970-71,2,10,Mallorca,Racing de Ferrol,1,1,08/11/1970,26866800
335,1970-71,2,10,Burgos,Pontevedra,2,0,08/11/1970,26866800
336,1970-71,2,10,Cadiz,Hercules,0,0,08/11/1970,26866800
337,1970-71,2,10,Rayo Vallecano,Logrones,1,0,08/11/1970,26866800
338,1970-71,2,10,Oviedo,Cordoba,3,2,08/11/1970,26866800
339,1970-71,2,10,Villarreal,Santander,1,1,08/11/1970,26866800
340,1970-71,2,10,Calvo Sotelo,Langreo,1,0,08/11/1970,26866800
341,1970-71,2,11,Castellon,Cadiz,1,1,15/11/1970,27471600
342,1970-71,2,11,Ontinyent,Calvo Sotelo,2,0,15/11/1970,27471600
343,1970-71,2,11,Logrones,Moscardo,4,1,15/11/1970,27471600
344,1970-71,2,11,Pontevedra,Betis,5,2,15/11/1970,27471600
345,1970-71,2,11,Langreo,Sant Andreu,1,1,15/11/1970,27471600
346,1970-71,2,11,Cordoba,Burgos,3,0,15/11/1970,27471600
347,1970-71,2,11,Racing de Ferrol,Villarreal,1,0,15/11/1970,27471600
348,1970-71,2,11,Rayo Vallecano,Mallorca,0,0,15/11/1970,27471600
