id,division,round,visitorGoals,timestamp
562,2,33,0,40773600
563,2,33,2,40773600
564,2,33,0,40773600
565,2,33,0,40773600
566,2,33,0,40773600
567,2,33,0,40773600
568,2,33,0,40773600
569,2,33,0,40773600
570,2,33,0,40773600
571,2,34,0,42588000
572,2,34,1,42588000
573,2,34,1,42588000
574,2,34,0,42588000
575,2,34,0,42588000
576,2,34,0,42588000
577,2,34,1,42588000
578,2,34,0,42588000
579,2,34,0,42588000
580,2,34,1,42588000
581,2,35,1,43192800
582,2,35,1,43192800
583,2,35,1,43192800
584,2,35,1,43192800
585,2,35,0,43192800
586,2,35,1,43192800
587,2,35,0,43192800
588,2,35,1,43192800
589,2,35,0,43192800
590,2,35,0,43192800
591,2,36,0,43711200
592,2,36,0,43797600
593,2,36,2,43797600
594,2,36,1,43797600
595,2,36,1,43797600
596,2,36,1,43797600
597,2,36,1,43797600
598,2,36,0,43797600
599,2,36,0,43797600
600,2,36,2,43797600
601,2,37,0,44316000
602,2,37,1,44316000
603,2,37,0,44402400
604,2,37,0,44402400
605,2,37,1,44402400
606,2,37,0,44402400
607,2,37,0,44402400
608,2,37,0,44402400
609,2,37,2,44402400
610,2,37,0,44402400
611,2,38,0,44920800
612,2,38,0,45007200
613,2,38,1,45007200
614,2,38,2,45007200
615,2,38,1,45007200
616,2,38,0,45007200
617,2,38,0,45007200
618,2,38,0,45007200
619,2,38,0,45007200
620,2,38,1,45007200
621,1,1,2,52783200
622,1,1,1,52783200
623,1,1,0,52869600
624,1,1,1,52869600
625,1,1,2,52869600
626,1,1,0,52869600
627,1,1,0,52869600
628,1,1,2,52869600
629,1,1,0,52869600
630,1,2,0,53388000
631,1,2,2,53388000
632,1,2,1,53388000
633,1,2,0,53388000
634,1,2,1,53474400
635,1,2,2,53474400
636,1,2,1,53474400
637,1,2,0,53474400
638,1,2,1,53474400
639,1,3,0,53992800
640,1,3,1,54079200
641,1,3,2,54079200
642,1,3,0,54079200
643,1,3,0,54079200
644,1,3,0,54079200
645,1,3,0,54079200
646,1,3,1,54079200
647,1,3,2,54079200
648,1,4,2,54597600
649,1,4,1,54684000
650,1,4,0,54684000
651,1,4,1,54684000
652,1,4,2,54684000
653,1,4,0,54684000
654,1,4,0,54684000
655,1,4,1,54684000
656,1,4,1,54684000
657,1,5,0,55288800
658,1,5,0,55288800
659,1,5,1,55288800
660,1,5,0,55288800
661,1,5,0,55288800
662,1,5,0,55288800
663,1,5,0,55288800
664,1,5,0,55288800
665,1,5,0,55288800
666,1,6,1,55807200
667,1,6,0,55893600
668,1,6,0,55893600
669,1,6,3,55893600
670,1,6,1,55893600
671,1,6,0,55893600
672,1,6,1,55893600
673,1,6,1,55893600
674,1,6,0,55893600
675,1,7,0,56412000
676,1,7,0,56412000
677,1,7,0,56498400
678,1,7,1,56498400
679,1,7,1,56498400
680,1,7,0,56498400
681,1,7,1,56498400
682,1,7,1,56498400
683,1,7,1,56498400
684,1,8,1,57708000
685,1,8,2,57708000
686,1,8,0,57708000
687,1,8,0,57708000
688,1,8,1,57708000
689,1,8,0,57708000
690,1,8,0,57708000
691,1,8,2,57708000
692,1,8,0,57708000
693,1,9,1,58921200
694,1,9,0,58921200
695,1,9,1,58921200
696,1,9,1,58921200
697,1,9,1,58921200
698,1,9,0,58921200
699,1,9,1,58921200
700,1,9,1,58921200
701,1,9,1,58921200
702,1,10,0,59439600
703,1,10,0,59526000
704,1,10,2,59526000
705,1,10,0,59526000
706,1,10,1,59526000
707,1,10,0,59526000
708,1,10,2,59526000
709,1,10,1,59526000
710,1,10,0,59526000
711,1,11,2,60130800
712,1,11,1,60130800
713,1,11,0,60130800
714,1,11,0,60130800
715,1,11,0,60130800
716,1,11,0,60130800
717,1,11,1,60130800
718,1,11,1,60130800
719,1,11,1,60130800
720,1,12,0,60649200
721,1,12,0,60735600
722,1,12,0,60735600
723,1,12,0,60735600
724,1,12,0,60735600
725,1,12,0,60735600
726,1,12,0,60735600
727,1,12,1,60735600
728,1,12,1,60735600
729,1,13,1,61254000
730,1,13,0,61340400
731,1,13,1,61340400
732,1,13,2,61340400
733,1,13,2,61340400
734,1,13,1,61340400
735,1,13,0,61340400
736,1,13,2,61340400
737,1,13,0,61340400
738,1,14,0,61945200
739,1,14,0,61945200
740,1,14,0,61945200
741,1,14,1,61945200
742,1,14,1,61945200
743,1,14,1,61945200
744,1,14,2,61945200
745,1,14,1,61945200
746,1,14,0,61945200
747,1,15,0,63068400
748,1,15,3,63154800
749,1,15,4,63154800
750,1,15,0,63154800
751,1,15,2,63154800
752,1,15,0,63154800
753,1,15,0,63154800
754,1,15,0,63154800
755,1,15,1,63154800
756,1,16,2,63500400
757,1,16,1,63500400
758,1,16,1,63500400
759,1,16,0,63500400
760,1,16,0,63500400
761,1,16,1,63500400
762,1,16,0,63500400
763,1,16,2,63500400
764,1,16,0,63500400
765,1,17,0,64278000
766,1,17,1,64364400
767,1,17,1,64364400
768,1,17,0,64364400
769,1,17,2,64364400
770,1,17,2,64364400
771,1,17,0,64364400
772,1,17,0,64364400
773,1,17,2,64364400
774,1,18,1,64882800
775,1,18,0,64969200
776,1,18,0,64969200
777,1,18,0,64969200
778,1,18,0,64969200
779,1,18,1,64969200
780,1,18,0,64969200
781,1,18,0,64969200
782,1,18,2,64969200
783,1,19,1,65574000
784,1,19,0,65574000
785,1,19,0,65574000
786,1,19,0,65574000
787,1,19,0,65574000
788,1,19,1,65574000
789,1,19,1,65574000
790,1,19,1,65574000
791,1,19,0,65574000
792,1,20,2,66178800
793,1,20,0,66178800
794,1,20,1,66178800
795,1,20,0,66178800
796,1,20,3,66178800
797,1,20,0,66178800
798,1,20,2,66178800
799,1,20,2,66178800
800,1,20,1,66178800
801,1,21,0,66783600
802,1,21,0,66783600
803,1,21,1,66783600
804,1,21,1,66783600
805,1,21,0,66783600
806,1,21,1,66783600
807,1,21,1,66783600
808,1,21,1,66783600
809,1,21,0,66783600
810,1,22,1,67388400
811,1,22,0,67388400
812,1,22,0,67388400
813,1,22,0,67388400
814,1,22,0,67388400
815,1,22,0,67388400
816,1,22,2,67388400
817,1,22,0,67388400
818,1,22,2,67388400
819,1,23,1,67993200
820,1,23,2,67993200
821,1,23,1,67993200
822,1,23,0,67993200
823,1,23,1,67993200
824,1,23,0,67993200
825,1,23,0,67993200
826,1,23,2,67993200
827,1,23,0,67993200
828,1,24,1,68511600
829,1,24,0,68598000
830,1,24,1,68598000
831,1,24,0,68598000
